CD45,CD45RA,CD19,CD11b,CD4,CD8,CD34,CD20,CD33,CD123,CD38,CD90,CD3,label
-1.8368379,-0.28536487,-0.042424794,-0.7959202,-0.5158509,0.026453521,0.107478686,-0.81904894,2.0295343,1.9146186,1.3836005,2.1476028,-0.6542134,CD11b- Monocyte
-1.3302407,0.12645337,-0.22632638,0.017327784,-0.09072089,0.072115086,-0.6945591,-0.39039928,2.252456,0.8853106,1.1282173,-0.18241625,-1.2127527,CD11b- Monocyte
-3.2998366,-0.8422404,-0.56801003,-0.5572159,-0.6770446,-0.45321593,0.4130996,0.9817622,2.136113,-0.19204693,1.2958335,-0.64433354,-2.0615478,CD11b- Monocyte
-0.12529187,-1.2577443,-0.9576425,-0.7286128,0.057405557,-0.9245012,1.4492781,-0.7016099,2.032149,1.8504754,1.6155187,1.3017344,-1.6430589,CD11b- Monocyte
-2.5746517,-0.8979865,-0.6123467,-0.74594384,-0.7214472,-0.05302012,0.4087947,-0.54063797,1.9264653,0.93114096,1.6553084,0.15768918,-1.5220655,CD11b- Monocyte
-2.4408731,-1.026872,-0.5841746,-0.7907443,-0.13463365,-0.88696694,-0.37130988,-0.81694084,2.023022,0.7052557,1.0739394,-0.52322644,-0.06627372,CD11b- Monocyte
-1.6537834,-0.98256105,-0.503655,-0.8171337,-0.089478455,-0.9376214,1.7140813,-0.7187262,2.017933,-0.7203862,1.6154017,-0.21752682,-1.3153105,CD11b- Monocyte
-0.24180533,-0.8122745,-0.5899004,-0.71613806,0.60154516,-0.32795227,0.41109705,-0.752753,2.675633,1.4028431,1.3659916,1.7640387,-1.218313,CD11b- Monocyte
-0.4975002,-1.0534825,-0.5296051,-0.7315221,0.104612984,-0.95800006,-0.78313047,-0.80964845,1.6049386,-0.73080415,1.7741519,-0.43276003,-1.8486992,CD11b- Monocyte
-2.282547,-0.90868247,-0.5588332,-0.8480002,0.38309428,-0.92235047,1.2125067,1.0420781,2.0230718,0.23079492,1.2541751,0.5902631,-0.034511033,CD11b- Monocyte
-2.3547924,-0.98183835,-0.54190135,-0.3712659,-0.06826989,-0.9094382,-0.5137083,-0.7318865,1.9718033,1.5424472,1.6845579,-0.11168143,-1.7209612,CD11b- Monocyte
-1.367184,-1.4052913,-0.48496866,-0.7405904,0.087192126,-0.29731506,1.2496423,-0.3194987,2.0233052,-0.030216256,0.79522854,1.9805615,-1.7650357,CD11b- Monocyte
-1.4056209,-1.0572207,-0.48036855,-0.14581032,-1.0338959,-0.8664061,-0.64633876,-0.5004758,2.3505805,-0.38520575,1.0220528,-0.8801903,-1.7530254,CD11b- Monocyte
-1.173609,-1.2456706,-0.57500786,-0.83088785,0.39683512,-0.26623327,-0.14282586,0.12706546,1.9905745,1.1094017,1.1693877,1.1709012,-0.7658197,CD11b- Monocyte
-0.994452,-1.5091918,-0.45051107,-0.42574424,0.3515301,-0.9357703,-0.03325248,0.9768501,2.2514088,-0.6340778,1.6897926,1.5705166,-1.1969873,CD11b- Monocyte
-3.1989453,-1.3924024,-0.5069844,-0.82748926,-0.12142908,-1.0094454,0.911199,-0.7188072,2.0727043,1.3796344,1.5663548,1.3737249,-0.9657208,CD11b- Monocyte
-1.3084807,-0.8827226,-0.0052371034,-0.7410541,-0.254119,-0.15834436,0.27297407,-0.7259779,2.2361019,1.068838,0.9904972,1.3438427,-0.97173893,CD11b- Monocyte
-1.5073136,-0.80434203,-0.9312942,-1.0709895,-0.08448056,-0.05451673,-0.15798394,-0.5613174,2.05478,1.5282534,1.208122,-0.41938466,-0.9784617,CD11b- Monocyte
0.292543,-0.66441137,0.044876482,-0.068450145,1.0316882,-0.49657792,-0.38304442,1.1293586,2.6875973,2.623966,0.67229563,1.0580208,-1.8638029,CD11b- Monocyte
-0.95537037,-0.02409061,-0.58923066,-0.35174835,-0.60003555,-0.90049833,-0.8306393,-0.8036571,2.296028,1.2088614,1.5607446,-0.9059576,-0.5550385,CD11b- Monocyte
-1.1989034,-1.1263137,-0.52589166,-0.74856806,0.3448401,0.08270478,1.6505166,-0.63860464,2.378398,1.5447515,1.7561048,-0.34082907,-0.76849353,CD11b- Monocyte
-0.99054325,-0.40075022,-0.52047116,-0.33389273,0.35201,-0.90194434,0.4100231,-0.08290269,1.9976057,0.84537464,1.1258751,0.8920946,-0.5739894,CD11b- Monocyte
-0.123491704,-1.3137478,-0.5686506,-0.65086746,0.4329954,-0.23409969,-0.55713224,-0.5684799,2.3383389,2.2485242,0.3048594,-0.33402413,-0.9397319,CD11b- Monocyte
-1.7135335,-1.4608784,-0.3628584,-1.2679331,-0.965434,-0.21773337,0.7153328,-0.7432124,1.9805198,0.1685096,1.2411484,1.0998211,-0.34028664,CD11b- Monocyte
-1.9529406,-1.4052364,-0.6999252,-0.052373048,-0.49488482,-1.0043843,-0.45231444,-0.9521322,2.0655272,-0.54456466,0.9008819,0.53016746,-0.62591314,CD11b- Monocyte
